Date,Ticker,Stock_Return,Market_Return
2016-01-04,AAPL,,
2016-01-05,AAPL,-0.02505929012742958,0.0020122259542274534
2016-01-06,AAPL,-0.019569675572120526,-0.013115396702646942
2016-01-07,AAPL,-0.04220492958102129,-0.023700443014411654
2016-01-08,AAPL,0.005288098562143517,-0.010838374390218508
2016-01-11,AAPL,0.01619201758811628,0.0008532721255336551
2016-01-12,AAPL,0.014513109580708061,0.0078027985167561376
2016-01-13,AAPL,-0.025709782616713417,-0.024965452304219538
2016-01-14,AAPL,0.02187058275692788,0.016695905386662213
2016-01-15,AAPL,-0.02401514225070145,-0.021599098001850003
2016-01-19,AAPL,-0.004838702640632908,0.0005318215543925753
2016-01-20,AAPL,0.001344666786379456,-0.011693855152413501
2016-01-21,AAPL,-0.005062523247888362,0.005195438361131455
2016-01-22,AAPL,0.05316708112667401,0.020283701024494727
2016-01-25,AAPL,-0.019522606541774956,-0.015637982053378963
2016-01-26,AAPL,0.005530947995707969,0.014144335590226431
2016-01-27,AAPL,-0.06570667059954827,-0.010863483795639506
2016-01-28,AAPL,0.007171978705877713,0.005528577205787588
2016-01-29,AAPL,0.03454146912013911,0.0247602174153414
2016-02-01,AAPL,-0.009348829563524896,-0.00044323658717015935
2016-02-02,AAPL,-0.02022189656205875,-0.018743090830274922
2016-02-03,AAPL,0.019792280668768703,0.004992038934619414
2016-02-04,AAPL,0.008035644543963327,0.0015267325638141926
2016-02-05,AAPL,-0.026708523035910092,-0.018481246310869337
2016-02-08,AAPL,0.010530090776644352,-0.014153935656373462
2016-02-09,AAPL,-0.00021071403222372442,-0.0006636203533073592
2016-02-10,AAPL,-0.007579760977741712,-0.00018895027740828407
2016-02-11,AAPL,-0.006046456313414272,-0.012301161792504733
2016-02-12,AAPL,0.003094696823167764,0.019518049565855122
2016-02-16,AAPL,0.028195124926122528,0.01651665412216241
2016-02-17,AAPL,0.015314397721467143,0.01648043921048603
2016-02-18,AAPL,-0.018956552427529916,-0.004665713707027619
2016-02-19,AAPL,-0.002285216490023001,-2.6032942938902792e-05
2016-02-22,AAPL,0.008746035311173017,0.014454197186153817
2016-02-23,AAPL,-0.022605250239318808,-0.012454371867771763
2016-02-24,AAPL,0.014890634799325397,0.004439786812972857
2016-02-25,AAPL,0.006867765945456128,0.011348275359951865
2016-02-26,AAPL,0.0015503361370232671,-0.0018701144822791393
2016-02-29,AAPL,-0.002269976063351664,-0.008120976341902342
2016-03-01,AAPL,0.039714659343533354,0.023868791801894496
2016-03-02,AAPL,0.0021882355486273486,0.004094308735004715
2016-03-03,AAPL,0.0074441874194286495,0.0034987406745825567
2016-03-04,AAPL,0.014876857780149688,0.0033058923144386743
2016-03-07,AAPL,-0.01106695672069613,0.0008850141950174084
2016-03-08,AAPL,-0.00824591719444856,-0.011240108649505087
2016-03-09,AAPL,0.0008909203303797408,0.0050523932937867055
2016-03-10,AAPL,0.0004943299191226824,0.00015580493345068724
2016-03-11,AAPL,0.010774067284137434,0.01639550053418848
2016-03-14,AAPL,0.002542683676252766,-0.00126097292128724
2016-03-15,AAPL,0.020093366922863787,-0.0018369416879204792
2016-03-16,AAPL,0.013291499351831604,0.005600351545632876
2016-03-17,AAPL,-0.001604117026883678,0.006595236486620859
2016-03-18,AAPL,0.0011339919032675727,0.004405643688967897
2016-03-21,AAPL,-9.430607007188119e-05,0.0009855772666846896
2016-03-22,AAPL,0.007647948741050348,-0.000877387766836879
2016-03-23,AAPL,-0.005528588213224217,-0.006386031602501285
2016-03-24,AAPL,-0.00433434063671323,-0.0003780702927851376
2016-03-28,AAPL,-0.004542027998190812,0.0005452554858313974
2016-03-29,AAPL,0.023671129890586284,0.008816651779288476
2016-03-30,AAPL,0.0174590921541371,0.004350315260639448
2016-03-31,AAPL,-0.005202623808905349,-0.00203975921756705
2016-04-01,AAPL,0.009175100242326373,0.006330915127309877
2016-04-04,AAPL,0.01027367628531528,-0.003208322345054082
2016-04-05,AAPL,-0.011788942383806789,-0.010144492387214377
2016-04-06,AAPL,0.010472446076582598,0.010507619269939372
2016-04-07,AAPL,-0.021809610927170375,-0.011975786526205012
2016-04-08,AAPL,0.0011059092130858428,0.0027865779152878023
2016-04-11,AAPL,0.0033125110594813822,-0.002739785807018724
2016-04-12,AAPL,0.013025600811182203,0.0096621337827838
2016-04-13,AAPL,0.01448737208325701,0.01004013710204088
2016-04-14,AAPL,0.0005353047192959703,0.0001729273803483533
2016-04-15,AAPL,-0.020071270606476954,-0.0009842848497145784
2016-04-18,AAPL,-0.021574791911102897,0.006541025289023228
2016-04-19,AAPL,-0.005303385724864551,0.0030844851678346608
2016-04-20,AAPL,0.002057886859272884,0.0007615448773992117
2016-04-21,AAPL,-0.010827827463863682,-0.005194027008290192
2016-04-22,AAPL,-0.002737005785034774,4.785972478082989e-05
2016-04-25,AAPL,-0.005677198218328905,-0.0018120458796383465
2016-04-26,AAPL,-0.006947076642136563,0.0018727515871905798
2016-04-27,AAPL,-0.06257842781345302,0.001649352800310755
2016-04-28,AAPL,-0.03056577999690846,-0.009230768513682652
2016-04-29,AAPL,-0.011494381610980597,-0.005063088369821722
2016-05-02,AAPL,-0.0010669451664819807,0.007809946463542827
2016-05-03,AAPL,0.01644616470254001,-0.008676638198860664
2016-05-04,AAPL,-0.010401312011551478,-0.005936889314214544
2016-05-05,AAPL,-0.004058916124235368,-0.0002390081258001331
2016-05-06,AAPL,-0.005577089229384047,0.0031746390805036384
2016-05-09,AAPL,0.0007550716125241941,0.0007534970439868616
2016-05-10,AAPL,0.006789162766540624,0.012483643435067249
2016-05-11,AAPL,-0.009740588490898427,-0.009561518078546327
2016-05-12,AAPL,-0.023456819977327403,-0.0001694649071644072
2016-05-13,AAPL,0.0019925916582890224,-0.00847828902508041
2016-05-16,AAPL,0.03711836207674524,0.009796652464963085
2016-05-17,AAPL,-0.0041545927607523625,-0.009411297455333645
2016-05-18,AAPL,0.011445371588768571,0.00020517873267866804
