Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2016-01-04,37.63825988769531,37.77504747396574,37.04848820049615,37.77504747396574,67382000
2016-01-05,37.7418327331543,38.12196117527121,37.450418068829,37.8692051787552,45216000
2016-01-06,37.6328010559082,37.949988183144754,37.07128236216746,37.188740590244564,48206000
2016-01-07,36.72435760498047,37.43356877703162,36.440872025646534,36.99644674111335,63132000
2016-01-08,36.22428894042969,37.17634554894805,36.1256609440653,37.06136399928371,47506000
2016-01-11,36.33134460449219,36.43096328618479,35.66178273867717,36.275837041778786,50896000
2016-01-12,36.939449310302734,37.08813243520598,36.497865496106485,36.71196662477227,46816000
2016-01-13,35.66227340698242,37.31908318919751,35.52399985144096,37.137689186627284,51728000
2016-01-14,36.248077392578125,36.66934115745359,34.94017498611325,35.90363184715325,55558000
2016-01-15,35.21227264404297,35.88976367639844,34.76721765879762,35.18749085960844,76676000
2016-01-19,35.63798141479492,35.948729147754655,35.18053948658914,35.691012296543704,48724000
2016-01-20,35.612220764160156,36.02803212577534,34.08674598735914,34.98478116096561,82440000
2016-01-21,36.014156341552734,36.559321507615586,35.242994485192334,35.69201208578,51938000
2016-01-22,36.945396423339844,37.09903665794988,36.699578854067745,36.77391663401098,47146000
2016-01-25,36.35859680175781,37.29231854425593,36.30308924858752,36.86510700560522,45340000
2016-01-26,36.367027282714844,36.64803620787639,36.02902479571149,36.437406183170076,30940000
2016-01-27,35.56365203857422,36.47110233263639,35.358966020838345,36.47110233263639,42428000
2016-01-28,37.08614730834961,37.227888192584565,36.208923767274506,36.585089539222174,62104000
2016-01-29,37.73291015625,37.91925747474166,36.88294510995773,37.11885598283506,75808000
2016-02-01,38.19977569580078,38.537778154883824,37.73440078494215,38.224058361754075,111522000
2016-02-02,38.70232009887695,40.161382408654944,38.686953428685136,39.6732108235701,135846000
2016-02-03,37.13967514038086,39.2236927447917,36.4894389002937,38.96845629431944,131114000
2016-02-04,36.1806755065918,36.93449306742715,35.812442617613954,36.9022775106316,104922000
2016-02-05,34.87872314453125,36.01663189098759,34.6993142431125,35.95617100046142,109556000
2016-02-08,34.89854431152344,34.916387645717705,33.80077656412956,34.08178544538615,89410000
2016-02-09,34.74292755126953,35.73116632676861,34.12243015101031,34.34297439705801,84300000
2016-02-10,35.031864166259766,35.84317066650559,34.95950771861591,35.276694851091484,60314000
2016-02-11,35.00758361816406,35.30296476759648,34.2557510776996,34.51098755472807,65004000
2016-02-12,35.033843994140625,35.48533817703264,34.77067467995805,35.297504860203134,46538000
2016-02-16,35.566627502441406,35.826325772253966,35.19690476835864,35.61668262162516,43444000
2016-02-17,36.276824951171875,36.3655387343742,35.51557735433482,36.03050826976582,49154000
2016-02-18,35.5601806640625,36.47655451006453,35.463042434942075,36.37545361593367,47276000
2016-02-19,35.78816223144531,35.883319137501466,35.342611930713325,35.48039017687379,34918000
2016-02-22,36.132110595703125,36.41956263131484,35.85457278541269,36.15490726407153,37516000
2016-02-23,35.549278259277344,36.22379724590707,35.468992694342795,35.985908768899954,41332000
2016-02-24,35.72819137573242,35.74405338018382,34.79249192220274,35.218213753235695,37092000
2016-02-25,36.135581970214844,36.15490752550983,35.34806275606751,35.82880059606046,36146000
2016-02-26,35.92445373535156,36.48448648674226,35.77973704655751,36.35761313540331,42474000
2016-02-29,35.545806884765625,36.20892557094318,35.52697288328393,35.733144889867106,45068000
2016-03-01,36.7823486328125,36.79027774474195,35.61618687911871,35.74801734522271,60112000
2016-03-02,36.649024963378906,36.82942453172639,36.3402622731228,36.81703742240117,36292000
2016-03-03,36.257991790771484,36.72435738451275,36.160853561150574,36.64902515606832,40534000
2016-03-04,36.190093994140625,36.426991769005575,35.96211221482461,36.41708132611595,48516000
2016-03-07,35.32674789428711,36.04091612420905,34.94711478004545,35.93882078932554,61690000
2016-03-08,35.36293029785156,35.7950990205075,34.89062068399552,35.108189154196516,52530000
2016-03-09,35.95170593261719,35.99284126519183,35.31980838928819,35.444205053170265,39544000
2016-03-10,36.28673553466797,36.50331330145577,35.846637775808276,36.069658653644055,44616000
2016-03-11,36.91615295410156,36.917638953318104,36.5112427451894,36.67231674169174,35380000
2016-03-14,37.18229293823242,37.38152647994855,36.85618229241343,36.921108734211984,32824000
2016-03-15,37.19865417480469,37.31958352606561,36.81554989926204,36.97315280995888,29832000
2016-03-16,37.5351676940918,37.616447699373644,36.99694099741152,37.12331900339101,29306000
2016-03-17,37.590675354003906,37.930659150739736,37.53516779535316,37.5495400181346,44564000
2016-03-18,37.43852233886719,37.7720630010658,37.2605994510215,37.74678967023251,56222000
2016-03-21,37.77306365966797,37.83154322264555,37.23334712919507,37.36418692731438,28774000
2016-03-22,37.668487548828125,37.913813586195,37.56094353509855,37.58869731685704,22096000
2016-03-23,37.54507827758789,37.93313963659312,37.46925071748372,37.83203496273128,24678000
2016-03-24,37.410274505615234,37.545076951500974,37.19518272321895,37.22987494618609,31116000
2016-03-28,37.33295822143555,37.58175154241926,37.271502890787986,37.476185100756226,21676000
2016-03-29,37.957916259765625,38.02185204152048,37.08565357421941,37.35278180023132,40062000
2016-03-30,38.079341888427734,38.52390146744234,38.04167766593799,38.07289877678006,40396000
2016-03-31,37.80973434448242,38.116016589411664,37.57927587992362,38.07934303204804,32554000
2016-04-01,38.145259857177734,38.16359474513441,37.428115802807774,37.525257812808825,31674000
2016-04-04,37.919761657714844,38.28254593719062,37.75472496537778,38.137330133831746,26924000
2016-04-05,37.59513473510742,37.80824517881009,37.447937622513585,37.573328735766864,24478000
2016-04-06,38.06596374511719,38.08331174916066,37.482635218570984,37.55895811779012,25312000
2016-04-07,37.67195129394531,38.129888603393354,37.54210218863811,37.9296643911301,25498000
2016-04-08,37.63973617553711,38.01936927222028,37.45636462887176,37.9569232747529,23434000
2016-04-11,37.5440788269043,38.02382585591803,37.534168385669055,37.93610275913909,31774000
2016-04-12,37.8801155090332,37.909850626175036,37.24821780158253,37.58820544056081,27388000
2016-04-13,38.25627517700195,38.44658518949938,37.89349092576384,38.17697650258468,35426000
2016-04-14,38.428749084472656,38.6378931180952,38.32120128746069,38.427263084956934,26992000
2016-04-15,38.6572151184082,38.70330756283231,38.40594134467896,38.43419423596172,31712000
2016-04-18,39.03784942626953,39.080969883868285,38.5387766379495,38.6666406676022,33540000
2016-04-19,38.47136688232422,39.19990738189439,38.17499508253177,39.17760604770401,43952000
2016-04-20,38.405452728271484,38.640372989177926,38.224557812820976,38.61559120627492,34262000
2016-04-21,38.6572151184082,38.74047644951721,38.23842801630515,38.52389867825192,77628000
2016-04-22,36.56427764892578,37.364679263945675,36.19753073330452,36.8685785600778,140798000
2016-04-25,36.78432083129883,36.91664659771649,36.4319461935118,36.44433708208623,49442000
2016-04-26,35.949729919433594,36.951841823038585,35.6994467742317,36.89385759485888,55864000
2016-04-27,35.75594711303711,36.03794291031844,35.14238439386352,35.94724779247575,66262000
2016-04-28,34.943153381347656,36.14252134645892,34.85097225736573,35.84664485638198,62590000
2016-04-29,35.082916259765625,35.292555620985475,34.879716229609336,34.89656890051381,58278000
2016-05-02,35.40653991699219,35.456099691797064,35.00757749088499,35.28313392246203,33476000
2016-05-03,35.11065673828125,35.3549882338838,35.055644529151884,35.3118715783953,38620000
2016-05-04,35.25587844848633,35.4382593426093,34.893094211503524,35.02790044024823,34172000
2016-05-05,35.421417236328125,35.56216748931636,35.16072828720872,35.43578946154864,29668000
2016-05-06,35.9403076171875,35.98045228573488,35.28462270775316,35.29701359772488,39952000
2016-05-09,36.13608169555664,36.39181353670933,35.85705406871735,36.01564766375923,38074000
2016-05-10,36.64406967163086,36.67479544849029,36.25898410767626,36.42501144414202,32634000
2016-05-11,36.206451416015625,36.71444768996058,36.075116291978944,36.70057079973156,29834000
2016-05-12,36.08354568481445,36.44533932783022,35.89521697461843,36.278317507869595,27094000
2016-05-13,35.92295837402344,36.24311744909505,35.85753660157341,36.01167214267577,25244000
